Corrected.Temp.Mid,Temp.Edge
29.23,28.159
29.23,28.258
29.43,28.357
29.43,28.357
29.43,
29.53,
29.731,
29.631,
29.53,
29.631,
29.731,
29.932,
29.832,
29.832,
29.832,
29.832,
29.631,
29.43,
29.33,
29.23,
29.23,
29.13,
29.13,
29.13,
29.13,
29.13,
29.13,
29.13,
29.13,
29.03,
29.03,
29.03,
28.93,
29.03,
29.03,
28.93,
28.93,
28.93,
28.831,
28.831,
28.831,
28.831,
28.731,
28.731,
28.731,
28.731,
28.731,
28.631,
28.631,
28.631,
28.631,
28.631,
28.631,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.433,
28.433,
28.433,
28.433,
28.433,
28.333,
28.333,
28.333,
28.333,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.532,
28.532,
28.631,
28.631,
28.731,
28.831,
28.93,
28.93,
28.93,
29.03,
29.13,
29.23,
29.23,
29.33,
29.33,
29.43,
29.53,
29.53,
29.631,
29.631,
29.731,
29.631,
29.631,
29.53,
29.53,
29.43,
29.33,
29.33,
29.23,
29.23,
29.13,
29.13,
29.03,
29.03,
28.93,
28.93,
28.93,
28.93,
28.93,
28.831,
28.831,
28.831,
28.731,
28.731,
28.532,
28.731,
28.631,
28.631,
28.631,
28.631,
28.631,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.234,
28.135,
28.135,
28.234,
28.234,
28.135,
28.234,
28.234,
28.333,
28.333,
28.433,
28.433,
28.532,
28.433,
28.532,
28.532,
28.433,
28.631,
28.631,
28.631,
28.731,
28.731,
28.731,
28.93,
28.93,
29.03,
29.03,
29.13,
29.13,
29.33,
29.23,
29.23,
29.23,
29.33,
29.33,
29.33,
29.33,
29.33,
29.43,
29.43,
29.53,
29.33,
29.33,
29.23,
29.23,
29.23,
29.13,
29.13,
29.13,
29.13,
29.03,
29.03,
29.03,
29.03,
29.03,
29.03,
28.93,
28.93,
28.93,
28.93,
28.831,
28.831,
28.831,
28.831,
28.731,
28.731,
28.631,
28.631,
28.631,
28.631,
28.631,
28.532,
28.532,
28.532,
28.532,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.234,
28.234,
28.234,
28.234,
28.234,
28.234,
28.333,
28.333,
28.333,
28.333,
28.433,
28.532,
28.631,
28.731,
28.731,
28.731,
28.731,
28.831,
28.631,
28.93,
28.93,
28.831,
28.93,
28.731,
29.43,
28.831,
28.631,
29.03,
29.03,
29.03,
29.03,
29.13,
28.93,
28.93,
29.13,
29.13,
29.13,
29.13,
29.03,
28.93,
28.831,
28.831,
28.831,
28.731,
28.831,
28.93,
28.93,
29.03,
28.93,
28.731,
28.631,
28.532,
28.532,
28.532,
28.631,
28.631,
28.532,
28.532,
28.532,
28.631,
28.731,
28.631,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.532,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.433,
28.333,
28.333,
28.234,
28.333,
28.333,
28.333,
28.333,
28.333,
28.333,
28.433,
28.433,
28.532,
28.532,
28.731,
28.631,
28.631,
